meta_station_name,meta_station_id,meta_station_elevation,meta_station_group,meta_station_latitude
Tucson,az01,714,5,32.280552
Yuma Valley,az02,36,2,32.7117671
Safford,az04,903,6,32.812972
Coolidge,az05,423,5,32.979989
Maricopa,az06,362,5,33.068941
Aguila,az07,657,3,33.946192
Parker,az08,98,1,33.964296
Bonita,az09,1349,6,32.477478
Phoenix Greenway,az12,403,4,33.623279
Yuma N.Gila,az14,43,2,32.7804
Phoenix Encanto,az15,334,4,33.478443
Paloma,az19,221,3,32.927149
Mohave,az20,147,1,34.967462
Queen Creek,az22,462,5,33.193943
Harquahala,az23,348,3,33.490725
Roll,az24,81,2,32.762855
Buckeye,az26,301,3,33.409193
Desert Ridge,az27,511,4,33.688202
Mohave-2,az28,142,1,34.878238
Payson,az32,1479,4,34.232504
Bowie,az33,1162,6,32.289091
Parker-2,az35,92,1,33.863015
Yuma South,az36,28,2,32.565528
San Simon,az37,1130,6,32.200129
Sahuarita,az38,840,5,31.924618
Willcox Bench,az39,1306,6,32.118059
Ft Mohave CA,az40,147,1,34.969092
Salome,az41,585,3,33.848468
Wellton ETo,az42,73,2,32.693175
Yuma Valley ETo,az43,36,2,32.7117671
Mohave ETo,az44,145,1,34.895145
